Date,R(t)
Feb 21,20
Feb 22,77
Feb 23,146
Feb 24,229
Feb 25,322
Feb 26,400
Feb 27,650
Feb 28,888
Feb 29,1128
Mar 1,1694
Mar 2,1835
Mar 3,2502
Mar 4,3089
Mar 5,3858
Mar 6,4636
Mar 7,5883
Mar 8,7375
Mar 9,9172
Mar 10,10149
Mar 11,12462
Mar 12,15113
Mar 13,17660
Mar 14,21157
Mar 15,24747
Mar 16,27980
Mar 17,31506
Mar 18,35713
Mar 19,41035
Mar 20,47021
Mar 21,53578
Mar 22,59138
Mar 23,63927
Mar 24,69176
Mar 25,74386
Mar 26,80539
Mar 27,86498
Mar 28,92472
Mar 29,97689
Mar 30,101739
Mar 31,105792
Apr 1,110574
Apr 2,115242
Apr 3,119827
Apr 4,124632
Apr 5,128948
Apr 6,132547
Apr 7,135586
Apr 8,139422
Apr 9,143626
Apr 10,147577
Apr 11,152271
Apr 12,156363
Apr 13,159516
Apr 14,162488
Apr 15,165155
Apr 16,168941
Apr 17,172434
Apr 18,175925
Apr 19,178972
Apr 20,181228
Apr 21,183957
Apr 22,187327
Apr 23,189973
Apr 24,192994
Apr 25,195351
Apr 26,197675
Apr 27,199414
Apr 28,201505
Apr 29,203591
Apr 30,205463
May 1,207428
May 2,209328
May 3,210717
May 4,211938
May 5,213013
May 6,214457
May 7,215858
May 8,217185
May 9,218268
May 10,219070
May 11,219814
May 12,221216
May 13,222104
May 14,223096
May 15,223885
